unit_id,parent_unit_id,unit_name,strat_index,rank_id,start_age_ma,end_age_ma,start_age_err_ma,font_color,cmyk,cyan,magenta,yellow,black,rgb,red,green,blue,html_rgb_hash,standard_sort
4,1,Proterozoic,PR,2,538.8,2500,0.2,Black,0/80/35/0,0,80,35,0,247/53/99,247,53,99,#F73563,183
19,3,unnamed1,,5,2500,2800,,,0/35/5/0,0,35,5,0,250/167/200,250,167,200,#FAA7C8,184
9,3,Neoarchean,,4,2500,2800,,Black,0/40/5/0,0,40,5,0,249/155/193,249,155,193,#F99BC1,185
18,3,unnamed2,,5,2800,3200,,,0/50/5/0,0,50,5,0,248/129/181,248,129,181,#F881B5,186
8,3,Mesoarchean,,4,2800,3200,,Black,0/60/5/0,0,60,5,0,247/104/169,247,104,169,#F768A9,187
17,3,unnamed3,,5,3200,3600,,,0/60/0/0,0,60,0,0,246/104/178,246,104,178,#F668B2,188
7,3,Paleoarchean,,4,3200,3600,,Black,0/75/0/0,0,75,0,0,244/68/159,244,68,159,#F4449F,189
16,3,unnamed4,,5,3600,4031,,,5/90/0/0,5,90,0,0,230/29/140,230,29,140,#E61D8C,190
6,3,Eoarchean,,4,3600,4031,,Black,10/100/0/0,10,100,0,0,218/3/127,218,3,127,#DA037F,191
3,1,Archean,AR,2,2500,4031,,Black,0/100/0/0,0,100,0,0,240/4/127,240,4,127,#F0047F,192
2,1,Hadean,HD,2,4031,4567,3,White,30/100/0/0,30,100,0,0,174/2/126,174,2,126,#AE027E,193
1,,Precambrian,PCMB,1,538.8,4567,0.2,Black,0/75/30/0,0,75,30,0,247/67/112,247,67,112,#F74370,194
1000,,NO_DATA,,,,,,,,,,,,,,,,,
